Population_Growth_Rate_(percentage),Real_GDP_per_Capita_USD,Median_Age,Total_Fertility_Rate,Expected_Years_of_Schooling_(years),Youth_Unemployment_Rate_percent,Country,Real_GDP_per_Capita_USD_original,Cluster
1.241,10.177362240256695,29.2,1.74,12.67639256,15.6,Malaysia,26300.0,0
0.323,9.841665338892785,29.5,1.7,12.76840687,17.7,Maldives,18800.0,0
2.972,7.650168700845001,16.0,5.45,7.011331533,17.3,Mali,2100.0,1
1.29,10.707751151716078,42.3,1.51,15.90985012,9.8,Malta,44700.0,3
-3.323,8.699681400989514,23.8,2.72,16.38606071,26.0,Marshall Islands,6000.0,0
2.95,8.575650760987806,21.0,3.46,7.949540636,23.0,Mauritania,5300.0,1
-0.168,9.53249633228804,36.3,1.35,14.16282114,25.3,Mauritius,13800.0,3
0.877,9.857495968685136,29.3,1.73,14.46811008,8.1,Mexico,19100.0,0
0.466,8.101980731853192,26.3,2.22,11.54008512,18.9,"Micronesia, Federated States of",3300.0,0
-0.89,9.546884034617925,37.7,1.59,14.63856847,8.6,"Moldova, Republic of",14000.0,3
-0.922,11.658764556186767,55.4,1.53,21.6872406,26.6,Monaco,115700.0,3
1.302,9.367429587218957,29.8,1.89,13.6376543,21.0,Mongolia,11700.0,0
1.857,9.933094897288786,39.6,1.81,15.53652954,31.6,Montenegro,20600.0,3
-0.701,9.53249633228804,34.8,1.32,13.33577728,16.5,Montserrat,13800.0,0
1.001,8.999742789830492,29.1,2.27,15.07499027,27.2,Morocco,8100.0,0
2.941,7.0909098220799835,17.0,4.74,10.84830885,8.1,Mozambique,1200.0,1
0.69,8.294299608857235,29.2,2.0,11.50456047,6.4,Myanmar,4000.0,0
2.366,9.53249633228804,22.5,3.29,11.78505588,16.5,Namibia,13800.0,0
0.505,9.38437770918244,27.0,2.58,12.84263763,26.6,Nauru,11900.0,0
-0.139,8.24301946898925,25.3,1.88,13.75430393,9.5,Nepal,3800.0,0
0.807,10.943781931879723,42.8,1.77,18.58485031,9.6,Netherlands,56600.0,3
0.966,10.482933978579906,32.9,1.84,13.33577728,41.0,New Caledonia,35700.0,2
0.83,9.53249633228804,37.2,1.9,19.30005074,16.5,New Zealand,13800.0,3
1.362,8.630700432209832,27.3,1.78,11.51021957,11.6,Nicaragua,5600.0,0
3.307,7.0909098220799835,14.8,6.73,8.308919801,1.0,Niger,1200.0,1
2.096,8.497194544909547,18.6,4.57,10.51407,19.6,Nigeria,4900.0,1
-0.275,9.314790473332646,31.85,1.955,13.33577728,16.5,Niue,11100.0,0
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,Norfolk Island,13800.0,0
-0.468,9.711176264112805,39.0,1.52,14.78143978,34.1,North Macedonia,16500.0,3
-2.105,10.106469212026385,32.8,2.59,13.33577728,16.5,Northern Mariana Islands,24500.0,3
1.109,11.119897691565697,39.5,1.83,18.79285049,13.0,Norway,67500.0,3
4.591,10.442929787247998,26.2,2.67,13.43931961,14.6,Oman,34300.0,0
1.48,8.556606193773073,22.0,3.39,7.89510849,9.4,Pakistan,5200.0,1
-0.231,9.53249633228804,33.9,1.7,14.06742382,5.6,Palau,13800.0,0
1.524,8.630700432209832,19.85,3.44,12.99800968,39.6,"Palestine, State of",5600.0,2
1.289,10.275085591132715,30.1,2.37,13.3116098,30.0,Panama,29000.0,2
1.798,8.216358332386156,24.0,3.85,11.51107187,5.3,Papua New Guinea,3700.0,1
1.245,9.525224101853109,29.7,1.88,13.98706964,16.3,Paraguay,13700.0,0
1.118,9.433563920090563,29.1,2.18,14.90939376,11.2,Peru,12500.0,0
0.835,8.999742789830492,25.7,2.95,12.81904666,7.3,Philippines,8100.0,0
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,Pitcairn,13800.0,0
-0.264,10.460270761075149,41.9,1.41,16.67827988,13.4,Poland,34900.0,3
-0.002,10.425282789490705,44.6,1.44,17.48682022,23.1,Portugal,33700.0,3
0.124,10.392098241730961,43.6,1.25,13.33577728,18.5,Puerto Rico,32600.0,3
2.24,11.439289689006644,33.7,1.9,13.14116001,1.1,Qatar,92900.0,0
-0.53,10.335302435967074,42.5,1.63,14.05288029,20.6,Romania,30800.0,3
-0.323,10.239995502805316,40.3,1.6,13.18515015,16.9,Russian Federation,28000.0,3
2.177,7.696667081526462,19.7,3.23,12.59045029,2.9,Rwanda,2200.0,1
1.66,9.53249633228804,47.0,1.64,13.33577728,16.5,Saint Barthélemy,13800.0,3
-1.116,8.962007209588313,44.7,1.61,13.33577728,16.5,"Saint Helena, Ascension and Tristan da Cunha",7800.0,3
0.192,10.184937747111391,38.1,1.76,18.40703011,16.5,Saint Kitts and Nevis,26500.0,3
0.266,9.472781556562168,39.0,1.72,12.73040962,38.7,Saint Lucia,13000.0,2
-5.398,9.867912187022208,34.0,1.8,13.33577728,16.5,Saint Martin (French part),19300.0,3
-0.968,10.740756721857226,50.6,1.59,13.33577728,16.5,Saint Pierre and Miquelon,46200.0,3
-0.704,9.525224101853109,37.0,1.74,16.2530213,41.1,Saint Vincent and the Grenadines,13700.0,2
0.627,8.612685172875459,26.9,2.37,12.4364,19.7,Samoa,5500.0,0
-0.744,10.94024216782542,45.9,1.53,14.59976717,27.4,San Marino,56400.0,3
2.004,8.31898612539206,20.4,3.44,12.8567099,22.9,Sao Tome and Principe,4100.0,1
2.387,10.698762529141884,32.0,1.89,16.94943047,28.8,Saudi Arabia,44300.0,3
2.329,7.8636512654486515,19.0,4.17,9.142709732,8.2,Senegal,2600.0,1
-0.439,9.893487720457795,43.7,1.46,15.04216003,30.4,Serbia,19800.0,3
1.964,10.268165387743457,38.2,1.81,18.22489929,16.5,Seychelles,28800.0,3
