ISO3,"Adolescent_Birth_Rate_(births_per_1,000_women_ages_15-19)",Expected_Years_of_Schooling_(years),HDI_Rank,Human_Development_Index_(value),Inequality-adjusted_Human_Development_Index_(value),Life_Expectancy_at_Birth_(years)
TZA,113.209,8.585740089,165.0,0.555,0.391,66.995
UGA,106.954,11.56404819,157.0,0.582,0.4,68.252
UKR,11.377,13.32800961,87.0,0.779,0.715,73.422
URY,26.188,17.4839592,48.0,0.862,0.747,78.138
USA,13.145,15.92300034,17.0,0.938,0.832,79.304
UZB,34.081,12.46086979,107.0,0.74,,72.388
VCT,42.3,16.2530213,76.0,0.798,,71.23
VEN,73.295,12.96537654,121.0,0.709,0.605,72.514
VNM,34.277,15.45771503,93.0,0.766,0.641,74.588
VUT,66.219,11.81160992,146.0,0.621,0.521,71.477
WSM,43.538,12.4364,122.0,0.708,0.609,71.698
YEM,75.328,7.494902735,184.0,0.47,0.325,69.295
ZAF,51.56,13.79325008,106.0,0.741,0.476,66.139
ZMB,115.907,11.02052892,154.0,0.595,0.361,66.349
ZWE,98.057,11.05745312,153.0,0.598,0.406,62.775
ZZA.VHHD,10.10307717,16.3770175,,0.914,0.821,80.00734098
ZZB.HHD,25.50153134,14.61213957,,0.777,0.64,75.67913587
ZZC.MHD,44.80752416,12.10085988,,0.656,0.457,69.3236582
ZZD.LHD,81.53236356,8.945344458,,0.515,0.336,65.03837136
ZZE.AS,44.20767193,11.96575967,,0.719,0.544,72.46851707
ZZF.EAP,15.50484111,14.5900055,,0.775,0.649,75.91241428
ZZG.ECA,19.4883119,15.55734509,,0.818,0.719,74.78936326
ZZH.LAC,51.39772959,14.77293408,,0.783,0.619,75.61125554
ZZI.SA,26.06335558,12.14822123,,0.672,0.469,71.86941511
ZZJ.SSA,94.16446035,10.3456097,,0.568,0.377,62.50627657
ZZK.WORLD,39.07873732,13.04036596,,0.756,0.59,73.38339803
